Qa,Qb,Ta,Tb,Ca0,Cb0,Ca,Cb,Cc,T,V,Qout
7.91587616050368,7.73818666577634,383.819624675762,387.12923733286,15,15,3.39625751287819,4.16229058690465,3.72072595010858,415.665970461057,280.59906324653,15.1212660536848
7.94311177820615,7.70889148195581,383.252307996963,387.910417603999,15,15,3.42180800080702,4.13568592588563,3.72125303665367,415.248297411185,281.122574249888,15.1353652816749
7.97005308718339,7.67932541124448,382.726851826141,388.721815534995,15,15,3.44732722261867,4.10903896774346,3.72181690481894,414.857654703435,281.629884182534,15.1490156621824
7.99669739332694,7.64949141022479,382.244569530073,389.561403053589,15,15,3.47281096741553,4.08234496146778,3.72242203555834,414.49424028385,282.120877885992,15.1622153129647
8.0230420322284,7.61939246227198,381.80666656333,390.427081628232,15,15,3.49825526988705,4.05559939753241,3.72307266629028,414.158225427849,282.595442360912,15.1749623762478
8.04908436944583,7.58903157725576,381.414237455274,391.316687513325,15,15,3.52365642253566,4.02879802033665,3.72377277856385,413.849754677786,283.053466798975,15.1872550189234
8.07482180076721,7.55841179123934,381.068263074301,392.227997157453,15,15,3.5490109873038,4.00193684004721,3.7245260863245,413.568945826525,283.494842614552,15.199091432747
8.10025175247086,7.5275361661758,380.769608176185,393.158732761107,15,15,3.57431580656124,3.97501214379989,3.72533602481945,413.315889945854,283.919463476135,15.2104698345382
8.12537168158279,7.49640778960191,380.519019242634,394.106567969995,15,15,3.59956801341373,3.94802050622227,3.72620574018201,413.090651458548,284.327225337519,15.2213884663823
8.15017907613104,7.46502977432939,380.317122615478,395.069133689718,15,15,3.62476504129588,3.9209587992407,3.72713807973171,412.893268252864,284.718026468723,15.2318455958336
8.1746714553968,7.43340525813362,380.164422931138,396.044024007271,15,15,3.64990463281362,3.89382420113673,3.72813558302483,412.723751838204,285.091767486659,15.2418395161205
8.19884637016259,7.40153740343987,380.061301859302,397.028802204573,15,15,3.67498484780345,3.86661420482071,3.72920047368793,412.582087540706,285.448351385527,15.2513685463518
8.22270140295705,7.36942939700705,380.008017148944,398.021006848994,15,15,3.70000407057866,3.83932662529266,3.73033465206435,412.468234737481,285.787683566937,15.2604310317251
8.24623416829679,7.33708444960905,380.004701984091,399.018157945653,15,15,3.72496101633478,3.81195960626306,3.73153968870108,412.382127128249,286.109671869744,15.2690253437371
8.26944231292489,7.30450579571365,380.051364650927,400.017763136114,15,15,3.74985473668972,3.78451162590895,3.73281681870067,412.323673043101,286.414226599599,15.2771498803953
8.29232351604622,7.2716966931591,380.147888517088,401.017323927986,15,15,3.77468462433638,3.75698150174359,3.73416693696002,412.292755785163,286.701260558193,15.2848030664314
8.31487548955954,7.23866042282831,380.294032323176,402.01434193985,15,15,3.79945041678897,3.7293683945808,3.73559059431512,412.289234006944,286.970689072206,15.2919833535171
8.3370959782863,7.20540028832077,380.489430785787,403.006325145913,15,15,3.82415219920697,3.70167181157826,3.73708799460739,412.312942119169,287.222430021937,15.2986892204813
8.35898276019612,7.17191961562223,380.733595510525,403.990794104776,15,15,3.84879040628376,3.67389160834702,3.73865899268462,412.363690730954,287.456403869612,15.3049191735291
8.38053364662908,7.13822175277205,381.025916212738,404.965288156742,15,15,3.87336582319042,3.6460279901178,3.74030309334589,412.441267120201,287.67253368737,15.3106717464632
8.40174648251446,7.10431006952844,381.365662242906,405.927371574188,15,15,3.89787958556826,3.61808151195778,3.74201945123699,412.545435733139,287.870745184912,15.3159455009072
8.42261914658638,7.07018795703147,381.751984412892,406.874639649614,15,15,3.92233317856676,3.59005307803496,3.74380687169915,412.675938711987,288.050966736805,15.3207390265299
8.44314955159581,7.03585882746395,382.183917118463,407.804724706159,15,15,3.94672843492733,3.56194393993048,3.7456638125711,412.832496449758,288.213129409439,15.3250509412733
8.46333564451937,7.00132611371021,382.660380752801,408.715302015561,15,15,3.97106753211625,3.53375569400258,3.74758838694059,413.01480817128,288.357166987623,15.3288798915812
8.48317540676458,6.96659326901288,383.180184404958,409.604095608765,15,15,3.99535298851376,3.50549027780923,3.74957836683851,413.222552539572,288.483016000821,15.3322245526308
8.50266685437174,6.93166376662746,383.742028836512,410.468883964664,15,15,4.01958765866926,3.47714996559986,3.75163118786544,413.455388286744,288.590615749008,15.3350836285658
8.52180803821235,6.8965410994751,384.344509728987,411.30750556274,15,15,4.04377472763636,3.44873736288976,3.75374395473694,413.712954868676,288.67990832815,15.3374558527322
8.54059704418397,6.86122877979324,384.986121193918,412.117864285745,15,15,4.06791770440421,3.42025540013411,3.75591344773084,413.994873142772,288.750838655299,15.3393399879159
8.55903199340166,6.82573033878441,385.665259536787,412.897934658897,15,15,4.09202041444512,3.39170732552168,3.7581361300166,414.300746068129,288.803354493282,15.3407348265828
8.57711104238585,6.79004932626314,386.380227265426,413.645766912517,15,15,4.11608699140138,3.36309669691143,3.76040815584359,414.630159427543,288.837406475,15.3416391911209
8.59483238324673,6.75418931030095,387.12923733286,414.359491855433,15,15,4.14012186793738,3.33442737293818,3.76272537956222,414.982682570795,288.852948127302,15.3420519340853
8.61219424386496,6.71815387686955,387.910417603999,415.037325546989,15,15,4.16412976578569,3.30570350331644,3.76508336544893,415.35786917873,288.849935894451,15.3419719384445
8.62919488806896,6.68194662948225,388.721815534995,415.677573755966,15,15,4.18811568501907,3.27692951837437,3.76747739830327,415.755258047674,288.828329161158,15.3413981178305
