,Ca_pred,Cb_pred,Cc_pred,Qout_pred,index,Ca,Cb,Cc,Qout
68,0.42315203,0.5801502,0.97170067,0.9712745,3168,0.45718323182055254,0.617353034027424,0.9851244202180114,0.968132180262117
69,0.42547,0.6033795,0.9677092,0.9606606,3169,0.46346151473928693,0.6110822617742708,0.9889264377262053,0.9655077919783398
70,0.4516404,0.59563214,0.98106605,0.9639901,3170,0.4680931909478424,0.6176296458811721,0.9903466173876305,0.9653223952942823
71,0.4404016,0.5940532,0.9780431,0.9616231,3171,0.4788014756131665,0.6101283536958269,0.992143711419477,0.9648784006155752
72,0.42941648,0.5897595,0.97586304,0.97084653,3172,0.47422497014681453,0.6360433135803231,0.9921918044611985,0.9662955552361052
73,0.43767035,0.60592395,0.9879139,0.96254826,3173,0.4713607142936758,0.6392313439053129,0.9905632756468343,0.9692085667821968
74,0.4088139,0.61087596,0.97462416,0.97496104,3174,0.46704488419117623,0.6453512897617771,0.9928844628932665,0.9688404424402852
75,0.4050209,0.5992876,0.9770082,0.9790342,3175,0.4564782385646389,0.6442940610438382,0.9944982377584759,0.9683828914229392
76,0.40589276,0.62488997,0.97524136,0.96961915,3176,0.4558020509994916,0.6288508894312427,0.9967231345857841,0.9669867020685607
77,0.42158362,0.5948719,0.97797906,0.9714726,3177,0.4486483606368754,0.6205691032636251,0.9956556674827598,0.967805941140559
78,0.39909026,0.6003915,0.960652,0.967262,3178,0.4476433718914894,0.6412615751509284,0.9931716641561932,0.9699699935652076
79,0.4051995,0.61586714,0.9691325,0.9615958,3179,0.4392652566931973,0.6326054839676265,0.9961015133020557,0.9673615687248714
80,0.39572367,0.61876655,0.9672662,0.96864045,3180,0.43910112323746386,0.6278332063659974,0.9968595670124147,0.9662652479880486
81,0.43171716,0.61702293,0.97819453,0.9630027,3181,0.4514867974453124,0.6187347335089827,0.9966050133203782,0.9661159051148552
82,0.43992966,0.5983532,0.98364145,0.9639411,3182,0.45228142866187054,0.5932050615634302,0.9966808462089561,0.9655182021326465
83,0.4137194,0.57801354,0.9709278,0.9769423,3183,0.45001997771889246,0.606937152304871,0.9939986252124802,0.9669934970272702
84,0.43215278,0.59087753,0.98003876,0.9631851,3184,0.43836636314485344,0.619779608549329,0.9936432156327918,0.9666412040889997
85,0.44274667,0.6053492,0.98223853,0.96848273,3185,0.43861233252974635,0.6074579872985458,0.9934428913766633,0.9660727142338436
86,0.41854793,0.5918464,0.96933746,0.96262836,3186,0.440336839679376,0.6136675325735775,0.9918722080472843,0.9664704672702632
87,0.41757944,0.5995628,0.9776065,0.96724653,3187,0.44467587494180016,0.6117034591336774,0.9952700678927145,0.9628845814232764
88,0.42264348,0.60042644,0.9782932,0.9761342,3188,0.4301454862045097,0.6195289195919876,0.993953003856202,0.9636712717789029
89,0.39357886,0.60825115,0.96848834,0.9748311,3189,0.43154062563382767,0.6103889167213714,0.9955886474451368,0.9613877398849606
90,0.433784,0.59597677,0.97390026,0.9696691,3190,0.4413578686915538,0.6036364170699448,0.9954135396693642,0.9605073923447967
91,0.44187775,0.5940917,0.9829503,0.96370184,3191,0.44177268012628,0.6175958878337829,0.9925539213165508,0.9622606947649179
92,0.41876617,0.60099715,0.96893936,0.96062315,3192,0.43832660580004246,0.6146733292767739,0.9934831670448773,0.9611346718146283
93,0.40952492,0.5963586,0.9713729,0.96916664,3193,0.43674859894692036,0.5987433622328288,0.9951323973914827,0.9586508115972108
94,0.425488,0.5843251,0.9788975,0.97011054,3194,0.4200880706338108,0.5981846751783776,0.9934562972982258,0.9586666141219634
95,0.41709313,0.5899029,0.9708866,0.9660289,3195,0.4138325663787643,0.5996239073674359,0.992399033471687,0.957831108410953
96,0.42299053,0.59127206,0.97641647,0.96030366,3196,0.4003198164074497,0.5985798291019565,0.9926067085842066,0.9556307491962702
97,0.4040375,0.59492594,0.9692748,0.9755008,3197,0.4014317730509367,0.5947183809941042,0.9886825874965749,0.9568039998704364
98,0.40567154,0.59283864,0.97053546,0.9771097,3198,0.4051206777463983,0.6080377982721415,0.9842772359125028,0.9591192609646048
99,0.39673325,0.60440993,0.9597674,0.9619112,3199,0.3912088976379837,0.6005895812462363,0.9836630656792922,0.9581660502685297
100,0.40317854,0.5961078,0.96136606,0.9591844,3200,0.38464125591473497,0.5996257054161814,0.9817348283208138,0.9579859225896368
