,pred,index,Cc
1423,0.81786174,4523,0.8141778887208798
1424,0.813977,4524,0.8136616280777882
1425,0.81575394,4525,0.8106840946477871
1426,0.81407607,4526,0.8128370257619748
1427,0.8124532,4527,0.809628190946341
1428,0.8053775,4528,0.8050542061351839
1429,0.80828655,4529,0.8040291291732441
1430,0.80141324,4530,0.7999597962714318
1431,0.7980656,4531,0.7978159628376561
1432,0.7976761,4532,0.7955672196818269
1433,0.7902618,4533,0.795205901354396
1434,0.7968083,4534,0.7912731796488608
1435,0.791779,4535,0.7898370568512235
1436,0.7900767,4536,0.7903143735871204
1437,0.78889656,4537,0.7855206022455321
1438,0.7847784,4538,0.7868874389243232
1439,0.78573567,4539,0.7827243144265079
1440,0.7811688,4540,0.7822965468969154
1441,0.7843243,4541,0.7816617178266202
1442,0.7772408,4542,0.7806064399951891
1443,0.7746531,4543,0.7773470267994148
1444,0.77989715,4544,0.777977129957435
1445,0.77489746,4545,0.7763831181387421
1446,0.7745831,4546,0.7761814846525203
1447,0.76762813,4547,0.77446814981403
1448,0.7766993,4548,0.7751133528903371
1449,0.77250636,4549,0.7732876817158074
1450,0.7606983,4550,0.7727949546583955
1451,0.7730284,4551,0.7721529163586601
1452,0.76170313,4552,0.7686424238682613
1453,0.7664353,4553,0.76693383228363
1454,0.7495525,4554,0.7627571166869587
1455,0.7450809,4555,0.7601866235806264
1456,0.7427088,4556,0.7641405335853496
1457,0.74784935,4557,0.7613905339579486
1458,0.75226474,4558,0.7583119286915807
1459,0.7417847,4559,0.7573975584757765
1460,0.73758525,4560,0.7569672202977289
1461,0.7576584,4561,0.7585388120826232
1462,0.74533427,4562,0.7598765961564616
1463,0.7459671,4563,0.759584944533709
1464,0.7449498,4564,0.7608475167119205
1465,0.74889964,4565,0.7604318316694664
1466,0.7526069,4566,0.7592195626761103
1467,0.7428173,4567,0.7624417456735094
1468,0.75344306,4568,0.763270209658783
1469,0.74937737,4569,0.7632468991243055
1470,0.7430707,4570,0.7620899227547582
1471,0.75259113,4571,0.7605660353998452
1472,0.74944484,4572,0.763529807286568
1473,0.7595726,4573,0.7630117872672466
1474,0.75436574,4574,0.7635024802708618
1475,0.7596262,4575,0.7621617249995275
1476,0.7630834,4576,0.7632130907600659
1477,0.75970817,4577,0.7664682393328653
1478,0.75658244,4578,0.7740539373851479
1479,0.7633596,4579,0.773510084919742
1480,0.7670766,4580,0.7750076671277176
1481,0.7649406,4581,0.7747468398183535
1482,0.76722085,4582,0.7781810217410636
1483,0.7673914,4583,0.7804054315091127
1484,0.77293134,4584,0.7844837121517446
1485,0.7721931,4585,0.7875874675535129
1486,0.76807564,4586,0.7882303424099094
1487,0.7764694,4587,0.788728164817451
1488,0.7781732,4588,0.7862964243708641
1489,0.7730764,4589,0.7871668029784699
1490,0.7736238,4590,0.7925899984304452
1491,0.7784377,4591,0.7921431327599899
1492,0.7811407,4592,0.7911904434602873
1493,0.7788268,4593,0.7943665893457876
1494,0.778278,4594,0.7925275258321861
1495,0.78648293,4595,0.7912332278367421
1496,0.7863762,4596,0.7907637017848991
1497,0.7850294,4597,0.7916555189889573
1498,0.7868308,4598,0.7958053419582707
1499,0.7932288,4599,0.796345824015323
1500,0.794812,4600,0.7962741892607911
1501,0.80170244,4601,0.7954856419735116
1502,0.80294657,4602,0.8027254321564797
1503,0.8052325,4603,0.8038490556192647
1504,0.80803275,4604,0.8039751617047737
1505,0.8072548,4605,0.8059913713563117
1506,0.8133328,4606,0.8108351153254847
1507,0.8168137,4607,0.814314894588103
1508,0.8190509,4608,0.8104669881518357
1509,0.8181684,4609,0.8124406632016895
1510,0.8201064,4610,0.8196453036406052
1511,0.82547677,4611,0.8229870651923956
1512,0.8239564,4612,0.8241985554510497
1513,0.8281557,4613,0.8270960184808647
1514,0.82849777,4614,0.8276865229812804
1515,0.8303417,4615,0.8309504631768121
1516,0.8323062,4616,0.8337600372461439
